Tokens	Score
struck	-2
brutality	-6
violence	-6
trust	5
timid	-2
no	-2
security	3
prison	-5
death	-5
dodgy	-2
agreements	2
forget	-2
pretty	4
forget	-2
charm	4
romance	5
mess	-3
nasty	-5
ready	3
injustice	-5
kill	-6
well	2
bitches	-5
lack	-3
comfortable	5
uncomfortable	-3
wonderful	5
comforting	4
discomforting	-3
truly	4
worth	2
great	6
comedy	3
dream	2
solid	1
disappears	-3
plays	2
terribly	-5
suspected	-2
killer	-6
disappointed	-4
risk	-2
love	6
laughed	4
comedies	4
impressed	4
sexy	5
spirited	3
jewel	3
devil	-6
interesting	4
friends	4
fighting	-3
ok	2
thriller	1
arguing	-4
like	3
ruins	-4
meaningless	-4
playing	2
ignore	-3
love	6
stunning	3
success	5
play	3
sophisticated	5
loneliness	-4
best	6
sincere	4
good	4
talented	5
alive	3
wish	4
luck	4
await	1
anxiously	-2
favorite	4
noble	4
boring	-3
tears	-2
sympathetic	5
delight	5
fun	5
startling	0
sure	3
excitement	4
hero	5
thank	3
nice	4
leave	0
doubt	-3
amazing	5
fresh	3
innovative	4
brilliant	5
funny	4
waste	-4
fallen	-3
painfully	-5
bad	-5
entertaining	4
hard	-1
original	3
brilliance	5
fit	3
mediocrity	0
respect	4
huge	3
awful	-4
encouraged	3
positive	5
bad	-5
mistake	-3
worst	-6
lame	-4
played	3
happy	5
credits	3
prevents	0
giving	3
obsessives	-1
laughter	4
love	6
hell	-6
liked	4
great	6
humour	4
odd	-3
jokes	2
low	-2
problem	-4
lost	-3
interest	4
better	4
helplessly	-3
horror	-5
horror	-5
tired	-4
beautiful	5
died	-5
care	4
romantic	4
humor	2
loved	5
scary	-4
fan	3
enjoyed	5
cry	-4
killing	-6
warned	-2
feeling	1
yes	4
hail	0
badass	-1
complained	-4
true	4
evil	-6
mad	-4
rich	5
cry	-4
suck	-4
laugh	5
annoying	-4
shoot	-3
lost	-3
appreciate	4
ruin	-5
good	4
play	3
certain	2
improve	4
perfection	5
cut	-2
fantastic	5
prisoners	-5
sorrow	-5
greetings	4
kind	5
unbelievable	2
bizarre	-3
pretty	4
no	-2
ridiculous	-3
intrigues	2
nonsense	-4
stereotyped	-2
wasted	-4
starving	-4
fails	-4
terror	-5
excellent	5
fault	-4
thrill	3
special	4
enjoy	4
top	2
horrible	-5
fight	-3
chance	2
emotional	1
attachment	2
destroy	-5
stolen	-4
wars	-5
ghost	-3
attacked	-4
victim	-2
disappointment	-5
save	4
nervous	-2
please	3
fitness	2
shame	-4
stinkers	-2
complaint	-2
liberties	5
perfectly	6
fine	2
saved	4
favored	4
die	-5
hard	-1
surprise	2
die	-5
wrong	-4
rescue	5
stop	-2
shoot	-3
dream	2
lovable	6
thrills	3
laughs	4
evilness	-6
harassed	-5
hapless	-3
killer	-6
painful	-4
hurt	-5
surely	4
grinning	3
death	-5
help	4
cares	4
lower	-2
terrible	-4
save	4
fake	-4
crappy	-5
respectable	4
amusing	3
unattractive	-4
weird	-1
horrible	-5
fail	-5
miserably	-4
laughs	4
regret	-4
liking	4
straight	2
fan	3
matter	0
hilarious	4
worse	-4
horrid	-5
surviving	2
honestly	4
stupid	-5
improvement	4
applause	4
bore	-2
naive	-2
dumb	-5
stronger	3
terrific	4
unfortunately	-3
masterpiece	6
boldness	3
creating	2
magnificent	5
complaints	-4
criticize	-3
miss	-1
landmark	0
hopefully	4
slam	-3
want	0
welcome	4
challenge	0
agree	3
killers	-6
failed	-5
fascinating	5
lies	-4
true	4
bright	4
surprised	2
kind	5
stress	-4
assured	3
crazy	-3
blockbuster	5
sappy	-2
values	4
interest	4
spirit	1
war	-5
depresses	-4
serious	0
poor	-4
war	-5
trivializes	-2
frustrating	-4
energetic	4
prepared	2
funniest	5
damn	-4
hated	-6
responsible	3
gloriously	5
war	-5
conflict	-3
combat	-3
compelling	2
battle	-3
glory	5
war	-5
disgusted	-5
homesick	-1
sympathy	3
reluctant	-2
battlefield	-3
unimpressive	-3
confusing	-2
helps	3
importantly	3
isolation	-4
disturbing	-5
surprisingly	2
troubled	-4
isolated	-3
affected	-1
aggression	-2
effective	4
haunting	-2
traumatized	-4
fought	-3
weapons	-4
hellish	-6
gloomy	-1
unfortunately	-3
justice	5
wonderfully	5
awkwardly	-3
dismal	-6
inspiring	4
vision	2
entertain	3
torn	-2
desperate	-3
restlessness	-2
drunk	-3
suspicion	-3
superior	5
angry	-5
alert	2
vulnerable	-2
sad	-4
haunts	-2
engaged	4
hates	-4
novel	3
murder	-6
protest	-2
prospect	2
offending	-5
lonesome	-3
inviting	3
retained	0
murderous	-6
rage	-5
successful	5
success	5
inspiration	5
creates	2
harsh	-4
suffers	-4
crime	-5
satisfaction	4
frustrations	-4
desired	2
anger	-5
spirit	1
alive	3
fights	-4
unethical	-5
negative	-5
suspended	-4
arrest	-3
courage	4
brilliantly	6
brilliantly	6
excited	3
alone	-2
hide	-1
dull	-4
thrilling	4
revenge	-5
insult	-5
injury	-4
promised	3
significant	2
elegant	4
missing	-2
threatens	-3
fear	-4
truth	3
accepted	2
troubles	-4
loving	5
feeling	1
elegantly	4
treat	4
friend	4
accepts	3
accepting	3
neglecting	-4
creations	3
loss	-3
damned	-3
tension	-3
seriously	-1
talent	4
certainly	3
best	6
avoid	-2
bored	-2
blockbuster	5
cute	4
restricted	-3
sweet	4
wrong	-4
restricted	-3
hoping	4
humor	2
insincere	-4
dream	2
worse	-4
worries	-4
offend	-2
suicide	-6
honestly	4
suicide	-6
number	0
chances	2
killings	-6
well	2
heroine	5
menace	-4
created	2
strangely	-2
hope	4
banned	-4
value	3
struggle	-3
weapon	-2
okay	2
greatest	6
heaven	5
hope	4
propaganda	-2
disappointingly	-4
conspiracy	-5
steal	-4
protect	3
bonus	5
clearly	4
slap	1
truly	4
benefit	4
sucker	-5
worthy	4
mindless	-4
entertainment	4
recommend	3
growing	1
daring	3
lovers	5
affection	5
romantically	4
sentimental	3
romances	3
rage	-5
cry	-4
pain	-5
confused	-3
gun	-3
killed	-6
tough	-1
miracle	5
grace	4
god	2
okay	2
improved	4
shaky	-2
